Constellation,Month,Northern latitude,Southern latitude
Andromeda,November,90°,40°
Antlia,April,45°,90°
Apus,July,5°,90°
Aquarius,October,65°,90°
Aquila,August,90°,75°
Ara,July,25°,90°
Aries,December,90°,60°
Auriga,February,90°,40°
Boötes,June,90°,50°
Caelum,January,40°,90°
Camelopardalis,February,90°,10°
Cancer,March,90°,60°
Canes Venatici,May,90°,40°
Canis Major,February,60°,90°
Canis Minor,March,90°,75°
Capricornus,September,60°,90°
Carina,March,20°,90°
Cassiopeia,November,90°,20°
Centaurus,May,25°,90°
Cepheus,November,90°,10°
Cetus,November,70°,90°
Chamaeleon,April,0°,90°
Circinus,July,30°,90°
Columba,February,45°,90°
Coma Berenices,May,90°,70°
Corona Australis,August,40°,90°
Corona Borealis,July,90°,50°
Corvus,May,60°,90°
Crater,April,65°,90°
Crux,May,20°,90°
Cygnus,September,90°,40°
Delphinus,September,90°,70°
Dorado,January,20°,90°
Draco,July,90°,15°
Equuleus,September,90°,80°
Eridanus,December,32°,90°
Fornax,December,50°,90°
Gemini,February,90°,60°
Grus,October,34°,90°
Hercules,July,90°,50°
Horologium,December,30°,90°
Hydra,April,54°,83°
Hydrus,November,8°,90°
Indus,September,15°,90°
Lacerta,October,90°,40°
Leo,April,90°,65°
Leo Minor,April,90°,45°
Lepus,January,63°,90°
Libra,June,65°,90°
Lupus,June,35°,90°
Lynx,March,90°,55°
Lyra,August,90°,40°
Mensa,January,4°,90°
Microscopium,September,45°,90°
Monoceros,February,75°,90°
Musca,May,10°,90°
Norma,July,30°,90°
Octans,October,0°,90°
Ophiuchus,July,80°,80°
Orion,January,85°,75°
Pavo,August,30°,90°
Pegasus,October,90°,60°
Perseus,December,90°,35°
Phoenix,November,32°,90°
Pictor,January,26°,90°
Pisces,November,90°,65°
Piscis Austrinus,October,55°,90°
Puppis,February,40°,90°
Pyxis,March,50°,90°
Reticulum,January,23°,90°
Sagitta,August,90°,70°
Sagittarius,August,55°,90°
Scorpius,July,40°,90°
Sculptor,November,50°,90°
Scutum,August,80°,90°
Serpens,July,80°,80°
Sextans,April,80°,90°
Taurus,January,90°,65°
Telescopium,August,40°,90°
Triangulum,December,90°,60°
Triangulum Australe,July,25°,90°
Tucana,November,25°,90°
Ursa Major,April,90°,30°
Ursa Minor,June,90°,10°
Vela,March,30°,90°
Virgo,May,80°,80°
Volans,March,15°,90°
Vulpecula,September,90°,55°
